type,lambda,num_personal_steps,perf,mean_perf,e,d,nm,norm,bs,seed
global,0.01,15,"[0.0998, 0.0998, 0.1897, 0.1694, 0.1361, 0.1463, 0.1907, 0.2552, 0.2896, 0.2689, 0.2476, 0.279, 0.3357, 0.3599, 0.391]",0.3622,ThreeLevels-0-SCF,0.001,9.74,1.0,308,46
personal,0.01,15,"[0.2163, 0.4909, 0.6, 0.6646, 0.768, 0.7875, 0.7998, 0.8054, 0.8138, 0.8189, 0.8281, 0.8246, 0.834, 0.8364, 0.845]",0.8385,ThreeLevels-0-SCF,0.001,9.74,1.0,308,46
pooled,0.01,15,"[0.1522, 0.2496, 0.3019, 0.3336, 0.386, 0.3965, 0.4021, 0.4046, 0.409, 0.4108, 0.4157, 0.4139, 0.4193, 0.4198, 0.4236]",0.4209,ThreeLevels-0-SCF,0.001,9.74,1.0,308,46
global,0.01,15,"[0.0998, 0.0998, 0.1938, 0.1595, 0.1997, 0.2349, 0.2834, 0.3384, 0.3649, 0.3202, 0.3212, 0.3519, 0.3996, 0.4253, 0.4208]",0.4152,BoundedPareto-0-SCF,0.001,9.74,1.0,220,46
personal,0.01,15,"[0.2443, 0.5364, 0.6342, 0.6867, 0.7634, 0.785, 0.8002, 0.8085, 0.8139, 0.8145, 0.8203, 0.83, 0.8375, 0.8395, 0.8377]",0.8382,BoundedPareto-0-SCF,0.001,9.74,1.0,220,46
pooled,0.01,15,"[0.1657, 0.2713, 0.3191, 0.3439, 0.3833, 0.3941, 0.4021, 0.4061, 0.4082, 0.4091, 0.4122, 0.4158, 0.4196, 0.4208, 0.4207]",0.4204,BoundedPareto-0-SCF,0.001,9.74,1.0,220,46
global,0.01,15,"[0.0998, 0.0998, 0.1749, 0.1708, 0.1476, 0.1662, 0.2007, 0.2669, 0.2856, 0.2771, 0.2436, 0.2852, 0.3269, 0.3328, 0.3693]",0.343,BoundedMixGauss-0-SCF,0.001,9.74,1.0,284,46
personal,0.01,15,"[0.2456, 0.5122, 0.6161, 0.6661, 0.7572, 0.7825, 0.7996, 0.8092, 0.8119, 0.8253, 0.8288, 0.8322, 0.8345, 0.8414, 0.8415]",0.8391,BoundedMixGauss-0-SCF,0.001,9.74,1.0,284,46
pooled,0.01,15,"[0.1668, 0.259, 0.3097, 0.3336, 0.3801, 0.3934, 0.4013, 0.4072, 0.4082, 0.4139, 0.4172, 0.4175, 0.4195, 0.4225, 0.423]",0.4217,BoundedMixGauss-0-SCF,0.001,9.74,1.0,284,46
global,0.1,15,"[0.0998, 0.1721, 0.0998, 0.1034, 0.1593, 0.1349, 0.1062, 0.2166, 0.1785, 0.3069, 0.2799, 0.2583, 0.3376, 0.3168, 0.2758]",0.3101,ThreeLevels-0-SCF,0.001,9.74,1.0,308,42
