"[0.2589, 0.5504, 0.7406, 0.8339, 0.8477, 0.88, 0.8777, 0.8775, 0.8985, 0.8913, 0.8991, 0.9021, 0.8985, 0.9006, 0.8978]",0.899,ThreeLevels-0-Ours,0.001,9.74,1.0,435,42
"[0.2589, 0.5805, 0.7467, 0.8433, 0.8508, 0.8779, 0.8908, 0.8928, 0.9063, 0.9056, 0.9097, 0.9023, 0.9057, 0.8994, 0.8989]",0.9013,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.2589, 0.5556, 0.7334, 0.8377, 0.8431, 0.8779, 0.8885, 0.8861, 0.9014, 0.9011, 0.89, 0.8865, 0.8899, 0.9023, 0.8999]",0.8974,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,42
"[0.2589, 0.5728, 0.7274, 0.8373, 0.8396, 0.8781, 0.89, 0.8982, 0.9089, 0.9042, 0.9038, 0.905, 0.9082, 0.8988, 0.9014]",0.9028,BoundedPareto-0-Ours,0.001,9.74,1.0,293,42
"[0.2589, 0.5805, 0.7467, 0.8433, 0.8508, 0.8779, 0.8908, 0.8928, 0.9063, 0.9056, 0.9097, 0.9023, 0.9057, 0.8994, 0.8989]",0.9013,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.2589, 0.5845, 0.7275, 0.8429, 0.844, 0.8725, 0.8765, 0.8845, 0.9041, 0.9031, 0.8967, 0.8915, 0.8951, 0.8947, 0.8884]",0.8927,BoundedPareto-0-Dropout,0.001,9.74,1.0,120,42
"[0.2589, 0.5575, 0.7388, 0.8276, 0.8382, 0.8732, 0.8643, 0.867, 0.8959, 0.8936, 0.9052, 0.9039, 0.9028, 0.9028, 0.8867]",0.8974,BoundedMixGauss-0-Ours,0.001,9.74,1.0,411,42
"[0.2589, 0.5805, 0.7467, 0.8433, 0.8508, 0.8779, 0.8908, 0.8928, 0.9063, 0.9056, 0.9097, 0.9023, 0.9057, 0.8994, 0.8989]",0.9013,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.2589, 0.5567, 0.745, 0.8302, 0.8385, 0.881, 0.8848, 0.8933, 0.914, 0.9107, 0.9083, 0.9043, 0.8974, 0.9002, 0.9031]",0.9002,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,166,42
"[0.3801, 0.6409, 0.7625, 0.7756, 0.8763, 0.8852, 0.9061, 0.9042, 0.9059, 0.8975, 0.8987, 0.8997, 0.9072, 0.9078, 0.9102]",0.9084,ThreeLevels-0-Ours,0.001,9.74,1.0,435,43
"[0.3801, 0.6571, 0.7569, 0.7806, 0.879, 0.9001, 0.9, 0.8983, 0.9058, 0.9055, 0.8887, 0.8859, 0.8916, 0.8813, 0.8757]",0.8829,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.3801, 0.6617, 0.7635, 0.7906, 0.8845, 0.9034, 0.8967, 0.8999, 0.8995, 0.903, 0.8981, 0.9055, 0.9049, 0.8973, 0.8898]",0.8973,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,43
"[0.3801, 0.6595, 0.7638, 0.7891, 0.8857, 0.8938, 0.9019, 0.902, 0.9126, 0.9075, 0.8971, 0.8934, 0.8857, 0.881, 0.906]",0.8909,BoundedPareto-0-Ours,0.001,9.74,1.0,299,43
"[0.3801, 0.6571, 0.7569, 0.7806, 0.879, 0.9001, 0.9, 0.8983, 0.9058, 0.9055, 0.8887, 0.8859, 0.8916, 0.8813, 0.8757]",0.8829,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.3801, 0.6714, 0.7731, 0.7878, 0.8788, 0.8835, 0.8969, 0.8981, 0.9011, 0.8982, 0.8914, 0.8903, 0.8899, 0.8956, 0.8856]",0.8904,BoundedPareto-0-Dropout,0.001,9.74,1.0,123,43
"[0.3801, 0.6392, 0.7574, 0.7704, 0.8798, 0.8893, 0.8999, 0.9028, 0.9044, 0.9059, 0.9059, 0.9126, 0.9101, 0.9044, 0.9072]",0.9072,BoundedMixGauss-0-Ours,0.001,9.74,1.0,471,43
"[0.3801, 0.6571, 0.7569, 0.7806, 0.879, 0.9001, 0.9, 0.8983, 0.9058, 0.9055, 0.8887, 0.8859, 0.8916, 0.8813, 0.8757]",0.8829,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.3801, 0.6712, 0.7704, 0.7903, 0.8774, 0.8831, 0.9018, 0.9022, 0.9056, 0.8941, 0.8916, 0.8961, 0.893, 0.888, 0.8958]",0.8923,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,185,43
"[0.4288, 0.5784, 0.6375, 0.7064, 0.7, 0.8691, 0.88, 0.8812, 0.9112, 0.9068, 0.9049, 0.9024, 0.9068, 0.8957, 0.9066]",0.903,ThreeLevels-0-Ours,0.001,9.74,1.0,435,44
"[0.4288, 0.5703, 0.6333, 0.7017, 0.6987, 0.859, 0.8815, 0.8793, 0.8934, 0.8935, 0.8898, 0.879, 0.891, 0.9005, 0.8972]",0.8962,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,44
"[0.4288, 0.582, 0.634, 0.7089, 0.709, 0.8626, 0.8829, 0.882, 0.8848, 0.886, 0.888, 0.8917, 0.8944, 0.8942, 0.8904]",0.893,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,44
