2026-03-06 14:59,0.7448,"[0.1627, 0.2286, 0.1995, 0.3109, 0.4326, 0.5149, 0.5724, 0.5694, 0.6168, 0.6946, 0.7023, 0.7027, 0.733, 0.7433, 0.7582]",0.4621,"[0.1203, 0.1104, 0.1398, 0.1724, 0.1942, 0.2106, 0.2497, 0.2867, 0.3382, 0.3438, 0.3733, 0.3842, 0.4253, 0.4703, 0.4908]",BoundedMixGauss-0-Dropout,0.001,9.74,1.0,"[166, 177, 177, 174, 173, 177, 177, 179, 172, 170]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 15:34,0.8222,"[0.1889, 0.2474, 0.2661, 0.5369, 0.5995, 0.6372, 0.6941, 0.74, 0.7502, 0.7714, 0.7771, 0.7932, 0.8118, 0.8228, 0.832]",0.9686,"[0.435, 0.6971, 0.8715, 0.9623, 0.9625, 0.9668, 0.9676, 0.9681, 0.9683, 0.9688, 0.9689, 0.9688, 0.9686, 0.9686, 0.9686]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[435, 435, 435, 435, 435, 435, 435, 435, 435, 435]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 15:36,0.5554,"[0.1514, 0.1393, 0.2347, 0.3055, 0.2969, 0.3571, 0.4303, 0.44, 0.4519, 0.4616, 0.5095, 0.5093, 0.4996, 0.5631, 0.6034]",0.4619,"[0.1203, 0.1104, 0.1398, 0.1724, 0.1942, 0.2106, 0.2497, 0.2867, 0.3382, 0.3438, 0.3732, 0.3841, 0.4253, 0.4702, 0.4902]",ThreeLevels-0-StrongForAll,0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 15:37,0.7586,"[0.1406, 0.1849, 0.1778, 0.3339, 0.4675, 0.5126, 0.5641, 0.5649, 0.6339, 0.7094, 0.7072, 0.7235, 0.7446, 0.7591, 0.7721]",0.4619,"[0.1203, 0.1104, 0.1398, 0.1724, 0.1942, 0.2106, 0.2497, 0.2867, 0.3382, 0.3438, 0.3732, 0.3841, 0.4252, 0.4702, 0.4904]",ThreeLevels-0-Dropout,0.001,9.74,1.0,"[175, 175, 175, 175, 175, 175, 175, 175, 175, 175]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 15:44,0.814,"[0.198, 0.1644, 0.268, 0.3522, 0.4991, 0.5357, 0.6053, 0.6617, 0.6862, 0.7445, 0.7658, 0.7895, 0.793, 0.8145, 0.8345]",0.9685,"[0.4356, 0.6968, 0.8711, 0.9623, 0.9626, 0.9667, 0.9675, 0.9679, 0.9681, 0.9683, 0.9686, 0.9687, 0.9685, 0.9685, 0.9686]",BoundedPareto-0-Ours,0.001,9.74,1.0,"[293, 288, 291, 294, 304, 303, 289, 291, 289, 294]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 15:45,0.5554,"[0.1514, 0.1393, 0.2347, 0.3055, 0.2969, 0.3571, 0.4303, 0.44, 0.4519, 0.4616, 0.5095, 0.5093, 0.4996, 0.5631, 0.6034]",0.462,"[0.1203, 0.1104, 0.1398, 0.1724, 0.1942, 0.2106, 0.2497, 0.2867, 0.3382, 0.3438, 0.3733, 0.3842, 0.4253, 0.4703, 0.4905]",BoundedPareto-0-StrongForAll,0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 15:47,0.6909,"[0.1463, 0.1939, 0.2042, 0.2654, 0.3383, 0.3502, 0.4632, 0.5419, 0.5465, 0.5895, 0.6344, 0.6586, 0.6747, 0.6751, 0.723]",0.4621,"[0.1203, 0.1104, 0.1398, 0.1724, 0.1942, 0.2106, 0.2496, 0.2866, 0.3383, 0.3438, 0.3733, 0.3842, 0.4252, 0.4702, 0.4908]",BoundedPareto-0-Dropout,0.001,9.74,1.0,"[120, 116, 120, 120, 125, 126, 117, 117, 119, 120]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 15:54,0.8217,"[0.1697, 0.2192, 0.2813, 0.605, 0.6146, 0.6512, 0.6946, 0.7376, 0.7545, 0.7703, 0.7792, 0.7924, 0.8102, 0.8231, 0.8317]",0.9686,"[0.4351, 0.6968, 0.8708, 0.962, 0.9627, 0.9667, 0.9675, 0.9682, 0.9684, 0.9688, 0.9689, 0.9688, 0.9686, 0.9684, 0.9687]",BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[411, 451, 447, 428, 439, 450, 444, 448, 445, 427]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 15:55,0.5554,"[0.1514, 0.1393, 0.2347, 0.3055, 0.2969, 0.3571, 0.4303, 0.44, 0.4519, 0.4616, 0.5095, 0.5093, 0.4996, 0.5631, 0.6034]",0.4619,"[0.1203, 0.1104, 0.1398, 0.1724, 0.1942, 0.2106, 0.2497, 0.2867, 0.3382, 0.3438, 0.3732, 0.3841, 0.4252, 0.4702, 0.4904]",BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 15:56,0.7448,"[0.1627, 0.2286, 0.1995, 0.3109, 0.4326, 0.5149, 0.5724, 0.5694, 0.6168, 0.6946, 0.7023, 0.7027, 0.733, 0.7433, 0.7582]",0.462,"[0.1203, 0.1104, 0.1398, 0.1724, 0.1942, 0.2106, 0.2496, 0.2866, 0.3383, 0.3438, 0.3733, 0.3842, 0.4252, 0.4702, 0.4907]",BoundedMixGauss-0-Dropout,0.001,9.74,1.0,"[166, 177, 177, 174, 173, 177, 177, 179, 172, 170]",0.01,10,0.5
