perf,mean_perf,e,d,nm,norm,bs,seed
"[0.1499, 0.2546, 0.4155, 0.5419, 0.6098, 0.6875, 0.7439, 0.7644, 0.7882, 0.8136, 0.8201, 0.8271, 0.8411, 0.8407, 0.8553]",0.8457,BoundedMixGauss-0-Ours,0.001,9.74,1.0,442,44
"[0.1476, 0.0997, 0.156, 0.2604, 0.2453, 0.3702, 0.4681, 0.4974, 0.4935, 0.5349, 0.6079, 0.6202, 0.6554, 0.6353, 0.6753]",0.6553,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,44
"[0.1641, 0.2802, 0.2763, 0.3572, 0.4866, 0.5887, 0.625, 0.684, 0.7074, 0.737, 0.7738, 0.78, 0.8082, 0.8105, 0.8348]",0.8178,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,175,44
"[0.1622, 0.2425, 0.3651, 0.5003, 0.5602, 0.6096, 0.65, 0.6806, 0.7066, 0.7665, 0.7708, 0.7932, 0.8088, 0.8103, 0.8209]",0.8133,ThreeLevels-0-Ours,0.001,9.74,1.0,435,45
"[0.1222, 0.1673, 0.2466, 0.2476, 0.4167, 0.4185, 0.454, 0.5339, 0.502, 0.5147, 0.5508, 0.6088, 0.5899, 0.5964, 0.6702]",0.6188,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.1418, 0.1569, 0.2735, 0.416, 0.4911, 0.5649, 0.5702, 0.5984, 0.6466, 0.6909, 0.7265, 0.7355, 0.7381, 0.7574, 0.7494]",0.7483,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,45
"[0.1134, 0.1098, 0.3969, 0.4961, 0.5745, 0.6213, 0.6516, 0.6666, 0.723, 0.7276, 0.7347, 0.7832, 0.802, 0.8075, 0.8083]",0.8059,BoundedPareto-0-Ours,0.001,9.74,1.0,289,45
"[0.1222, 0.1673, 0.2466, 0.2476, 0.4167, 0.4185, 0.454, 0.5339, 0.502, 0.5147, 0.5508, 0.6088, 0.5899, 0.5964, 0.6702]",0.6188,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.1577, 0.2409, 0.2626, 0.4531, 0.5234, 0.532, 0.5945, 0.5987, 0.6673, 0.6251, 0.6568, 0.7045, 0.741, 0.7405, 0.7318]",0.7378,BoundedPareto-0-Dropout,0.001,9.74,1.0,118,45
"[0.1896, 0.2235, 0.3534, 0.4506, 0.5617, 0.6044, 0.6428, 0.6834, 0.6969, 0.7662, 0.7694, 0.789, 0.8065, 0.8069, 0.8198]",0.8111,BoundedMixGauss-0-Ours,0.001,9.74,1.0,447,45
"[0.1222, 0.1673, 0.2466, 0.2476, 0.4167, 0.4185, 0.454, 0.5339, 0.502, 0.5147, 0.5508, 0.6088, 0.5899, 0.5964, 0.6702]",0.6188,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.134, 0.1421, 0.2868, 0.4007, 0.5158, 0.546, 0.5816, 0.6316, 0.6179, 0.7055, 0.7438, 0.7594, 0.7544, 0.7681, 0.768]",0.7635,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,180,45
"[0.1193, 0.1514, 0.3102, 0.4339, 0.5199, 0.6381, 0.6794, 0.7316, 0.7557, 0.7786, 0.801, 0.8164, 0.8232, 0.8311, 0.8361]",0.8301,ThreeLevels-0-Ours,0.001,9.74,1.0,435,46
"[0.1147, 0.2052, 0.1781, 0.27, 0.2702, 0.3442, 0.4006, 0.4039, 0.4372, 0.4168, 0.508, 0.4744, 0.522, 0.5504, 0.5946]",0.5557,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,46
"[0.1506, 0.1664, 0.2466, 0.2625, 0.4337, 0.5188, 0.5284, 0.5774, 0.6017, 0.6358, 0.6565, 0.6784, 0.7075, 0.7076, 0.7563]",0.7238,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,46
"[0.1477, 0.1912, 0.3589, 0.4023, 0.4877, 0.6012, 0.6376, 0.7098, 0.7274, 0.7315, 0.7665, 0.7862, 0.8039, 0.8064, 0.825]",0.8118,BoundedPareto-0-Ours,0.001,9.74,1.0,295,46
"[0.1147, 0.2052, 0.1781, 0.27, 0.2702, 0.3442, 0.4006, 0.4039, 0.4372, 0.4168, 0.508, 0.4744, 0.522, 0.5504, 0.5946]",0.5557,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,46
"[0.1009, 0.1834, 0.2826, 0.2901, 0.4205, 0.5064, 0.5082, 0.5194, 0.5617, 0.5891, 0.6652, 0.7032, 0.7068, 0.7507, 0.7625]",0.74,BoundedPareto-0-Dropout,0.001,9.74,1.0,121,46
"[0.1229, 0.1519, 0.3231, 0.4318, 0.5197, 0.6043, 0.6752, 0.7302, 0.7527, 0.7737, 0.8, 0.8143, 0.8197, 0.8287, 0.8384]",0.8289,BoundedMixGauss-0-Ours,0.001,9.74,1.0,428,46
"[0.1147, 0.2052, 0.1781, 0.27, 0.2702, 0.3442, 0.4006, 0.4039, 0.4372, 0.4168, 0.508, 0.4744, 0.522, 0.5504, 0.5946]",0.5557,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,46
"[0.1561, 0.1764, 0.2227, 0.2903, 0.4557, 0.5126, 0.5094, 0.5764, 0.599, 0.6342, 0.6581, 0.6662, 0.7042, 0.6993, 0.7447]",0.7161,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,173,46
