"[0.1729, 0.2253, 0.2734, 0.5202, 0.5955, 0.6448, 0.6917, 0.7477, 0.7475, 0.7687, 0.7789, 0.7962, 0.8145, 0.8242, 0.8325]",0.8237,ThreeLevels-0-Ours,0.001,9.74,1.0,435,42
"[0.1393, 0.1051, 0.1792, 0.3046, 0.2718, 0.3439, 0.3829, 0.4523, 0.473, 0.5044, 0.5389, 0.5206, 0.5326, 0.5827, 0.6216]",0.579,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1027, 0.1769, 0.1522, 0.3617, 0.4875, 0.4988, 0.5802, 0.5872, 0.6256, 0.6992, 0.7078, 0.7114, 0.7417, 0.7487, 0.7687]",0.753,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,42
"[0.131, 0.1954, 0.3817, 0.3985, 0.4873, 0.5517, 0.6156, 0.6758, 0.7157, 0.735, 0.7685, 0.7805, 0.8014, 0.8093, 0.8276]",0.8128,BoundedPareto-0-Ours,0.001,9.74,1.0,293,42
"[0.1393, 0.1051, 0.1792, 0.3046, 0.2718, 0.3439, 0.3829, 0.4523, 0.473, 0.5044, 0.5389, 0.5206, 0.5326, 0.5827, 0.6216]",0.579,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1351, 0.1936, 0.2411, 0.2929, 0.4269, 0.4756, 0.5441, 0.5575, 0.6335, 0.6768, 0.6895, 0.7019, 0.6773, 0.7388, 0.7383]",0.7181,BoundedPareto-0-Dropout,0.001,9.74,1.0,120,42
"[0.161, 0.1792, 0.2735, 0.5721, 0.5957, 0.6533, 0.6925, 0.7399, 0.7538, 0.7669, 0.7811, 0.7965, 0.8134, 0.8222, 0.832]",0.8225,BoundedMixGauss-0-Ours,0.001,9.74,1.0,411,42
"[0.1393, 0.1051, 0.1792, 0.3046, 0.2718, 0.3439, 0.3829, 0.4523, 0.473, 0.5044, 0.5389, 0.5206, 0.5326, 0.5827, 0.6216]",0.579,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1664, 0.2324, 0.2124, 0.3519, 0.4696, 0.5167, 0.584, 0.5922, 0.6241, 0.6972, 0.7038, 0.7042, 0.7321, 0.7426, 0.7598]",0.7448,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,166,42
"[0.1031, 0.1699, 0.3924, 0.6025, 0.6528, 0.6799, 0.7152, 0.7623, 0.7736, 0.8096, 0.8262, 0.8373, 0.8491, 0.8511, 0.8599]",0.8534,ThreeLevels-0-Ours,0.001,9.74,1.0,435,43
