perf,mean_perf,e,d,nm,norm,bs,seed
"[0.5461, 0.8298, 0.8837, 0.9023, 0.9153, 0.9196, 0.9239, 0.9271, 0.9289, 0.93, 0.9374, 0.9371, 0.9397, 0.9417, 0.9431]",0.9415,5.0,0.001,0.84,1.0,128,42
"[0.534, 0.8399, 0.8856, 0.9136, 0.9234, 0.9249, 0.9346, 0.9343, 0.9387, 0.9383, 0.9371, 0.9395, 0.9427, 0.9384, 0.9461]",0.9424,5.0,0.001,0.84,1.0,128,43
"[0.5894, 0.8637, 0.9036, 0.913, 0.9165, 0.9255, 0.9294, 0.9253, 0.9369, 0.9333, 0.9372, 0.9381, 0.9423, 0.9384, 0.9458]",0.9422,5.0,0.001,0.84,1.0,128,44
"[0.5335, 0.8332, 0.8761, 0.8972, 0.911, 0.9149, 0.9225, 0.9302, 0.9324, 0.9272, 0.9353, 0.9393, 0.9416, 0.9386, 0.9426]",0.9409,5.0,0.001,0.84,1.0,128,45
"[0.2443, 0.8044, 0.8902, 0.9074, 0.9165, 0.9237, 0.9287, 0.9332, 0.9342, 0.9404, 0.9416, 0.9436, 0.9446, 0.9483, 0.9483]",0.9471,5.0,0.001,0.84,1.0,128,46
