timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 14:25,0.9846,"[0.3903, 0.9187, 0.9686, 0.9741, 0.9798, 0.9785, 0.9809, 0.9827, 0.9826, 0.9845, 0.985, 0.9838, 0.9829, 0.9858, 0.9851]",0.9563,"[0.372, 0.6325, 0.8076, 0.9154, 0.923, 0.9361, 0.9426, 0.9474, 0.9502, 0.9488, 0.9474, 0.9483, 0.9524, 0.9574, 0.959]",,,,,128,0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-06 14:32,0.9847,"[0.4607, 0.9513, 0.9691, 0.9738, 0.98, 0.9801, 0.9811, 0.9817, 0.9833, 0.9848, 0.9843, 0.9834, 0.9846, 0.9842, 0.9852]",0.9549,"[0.372, 0.6318, 0.8072, 0.9143, 0.9239, 0.9375, 0.944, 0.9436, 0.9475, 0.9473, 0.9483, 0.9515, 0.9512, 0.9554, 0.9582]",,,,,128,0.01,10,0.5
