timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-04-01 11:42,0.7954,"[0.2614, 0.6324, 0.7931, 0.562, 0.6477, 0.5178, 0.7754, 0.6392, 0.6778, 0.6802, 0.9173, 0.786, 0.5865, 0.8675, 0.9321]",,,,,128,0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-04-01 11:43,0.833,"[0.263, 0.5906, 0.7994, 0.6042, 0.4899, 0.4959, 0.7363, 0.6292, 0.6485, 0.6701, 0.8391, 0.8025, 0.6892, 0.8751, 0.9348]",,,,,128,0.01,10,0.5
