timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-02 05:15,0.7635,"[0.1148, 0.1412, 0.1437, 0.2836, 0.4901, 0.4962, 0.5443, 0.6017, 0.6587, 0.6946, 0.7115, 0.7019, 0.7472, 0.7628, 0.7805]",0.2816,"[0.1032, 0.1258, 0.1503, 0.1706, 0.1892, 0.2002, 0.2313, 0.2225, 0.2413, 0.2485, 0.2752, 0.2765, 0.2836, 0.2795, 0.2818]",BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[166, 177, 177, 174, 173, 177, 177, 179, 172, 170]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-02 09:29,0.8205,"[0.1899, 0.2321, 0.2999, 0.5376, 0.6058, 0.6396, 0.6924, 0.7456, 0.7489, 0.7647, 0.7776, 0.7894, 0.8108, 0.8205, 0.8302]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[435, 435, 435, 435, 435, 435, 435, 435, 435, 435]",0.01,10,0.5
2026-03-02 09:30,0.6004,"[0.1411, 0.1634, 0.1975, 0.1876, 0.2507, 0.3773, 0.3794, 0.4615, 0.4543, 0.4971, 0.5537, 0.525, 0.5604, 0.5938, 0.6471]",ThreeLevels-0-StrongForAll(0.1),0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
2026-03-02 09:31,0.7577,"[0.1066, 0.1819, 0.1758, 0.3534, 0.4424, 0.514, 0.5939, 0.5969, 0.6454, 0.7086, 0.7191, 0.717, 0.7429, 0.7556, 0.7746]",ThreeLevels-0-Dropout(0.7699999999999998),0.001,9.74,1.0,"[175, 175, 175, 175, 175, 175, 175, 175, 175, 175]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-02 09:32,0.814,"[0.2014, 0.1258, 0.2657, 0.3682, 0.4709, 0.5065, 0.5961, 0.6656, 0.7014, 0.7442, 0.7685, 0.785, 0.7994, 0.8085, 0.834]",BoundedPareto-0-Ours,0.001,9.74,1.0,"[293, 288, 291, 294, 304, 303, 289, 291, 289, 294]",0.01,10,0.5
2026-03-02 09:33,0.6004,"[0.1411, 0.1634, 0.1975, 0.1876, 0.2507, 0.3773, 0.3794, 0.4615, 0.4543, 0.4971, 0.5537, 0.525, 0.5604, 0.5938, 0.6471]",BoundedPareto-0-StrongForAll(0.10000138417372431),0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
2026-03-02 09:34,0.7009,"[0.1629, 0.2355, 0.2135, 0.3152, 0.3317, 0.4344, 0.4912, 0.5116, 0.6003, 0.619, 0.6673, 0.639, 0.6778, 0.6905, 0.7344]",BoundedPareto-0-Dropout(0.4316516173121997),0.001,9.74,1.0,"[120, 116, 120, 120, 125, 126, 117, 117, 119, 120]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2026-03-02 09:35,0.8204,"[0.1423, 0.2047, 0.299, 0.59, 0.6161, 0.6412, 0.6945, 0.7457, 0.7461, 0.7668, 0.7777, 0.7925, 0.8104, 0.8202, 0.8307]",BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[411, 451, 447, 428, 439, 450, 444, 448, 445, 427]",0.01,10,0.5
2026-03-02 09:36,0.6004,"[0.1411, 0.1634, 0.1975, 0.1876, 0.2507, 0.3773, 0.3794, 0.4615, 0.4543, 0.4971, 0.5537, 0.525, 0.5604, 0.5938, 0.6471]",BoundedMixGauss-0-StrongForAll(0.1),0.001,13.75,1.0,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.01,10,0.5
2026-03-02 09:37,0.7524,"[0.1356, 0.2254, 0.2069, 0.3175, 0.4567, 0.5208, 0.5965, 0.5928, 0.6402, 0.7074, 0.71, 0.7124, 0.741, 0.7504, 0.7659]",BoundedMixGauss-0-Dropout(0.7745513565287265),0.001,9.74,1.0,"[166, 177, 177, 174, 173, 177, 177, 179, 172, 170]",0.01,10,0.5
timestamp,mean_perf_global,perf_global,mean_perf_personal,perf_personal,e,d,nm,norm,bs,lr,num_clients,client_rate
